account_name,tweet,time_posted,compound_score,positive_score,neutral_score,negative_score
BBC,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 19:56:38 +0000 2018,0.5707,0.15,0.85,0.0
BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 19:56:38 +0000 2018,-0.5106,0.153,0.491,0.356
BBC,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 19:56:38 +0000 2018,-0.6705,0.0,0.766,0.234
BBC,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 19:56:38 +0000 2018,0.3802,0.166,0.834,0.0
BBC,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 19:56:38 +0000 2018,-0.3818,0.0,0.88,0.12
BBC,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 19:56:38 +0000 2018,0.5509,0.165,0.835,0.0
BBC,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 19:56:38 +0000 2018,0.5719,0.134,0.866,0.0
BBC,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 19:56:38 +0000 2018,0.891,0.315,0.685,0.0
BBC,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 19:56:38 +0000 2018,0.4404,0.228,0.659,0.114
BBC,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 19:56:38 +0000 2018,0.1007,0.09,0.91,0.0
BBC,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 19:56:38 +0000 2018,-0.4404,0.109,0.683,0.208
BBC,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 19:56:38 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 19:50:50 +0000 2018,0.5707,0.15,0.85,0.0
BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 19:50:50 +0000 2018,-0.5106,0.153,0.491,0.356
BBC,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 19:50:50 +0000 2018,-0.6705,0.0,0.766,0.234
BBC,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 19:50:50 +0000 2018,0.3802,0.166,0.834,0.0
BBC,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 19:50:50 +0000 2018,-0.3818,0.0,0.88,0.12
BBC,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 19:50:50 +0000 2018,0.5509,0.165,0.835,0.0
BBC,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 19:50:50 +0000 2018,0.5719,0.134,0.866,0.0
BBC,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 19:50:50 +0000 2018,0.891,0.315,0.685,0.0
BBC,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 19:50:50 +0000 2018,0.4404,0.228,0.659,0.114
BBC,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 19:50:50 +0000 2018,0.1007,0.09,0.91,0.0
BBC,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 19:50:50 +0000 2018,-0.4404,0.109,0.683,0.208
BBC,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 19:50:50 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 19:27:05 +0000 2018,0.5707,0.15,0.85,0.0
BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 19:27:05 +0000 2018,-0.5106,0.153,0.491,0.356
BBC,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 19:27:05 +0000 2018,-0.6705,0.0,0.766,0.234
BBC,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
